2,603	0,000
5,899	0,000
8,867	0,000
12,257	0,000
15,693	0,000
18,989	0,000
21,077	0,000
24,457	0,000
26,264	0,000
28,549	0,000
31,910	0,000
35,318	0,000
38,670	0,047
41,966	0,047
45,272	0,066
46,301	0,066
46,105	0,075
45,861	0,075
43,783	0,075
42,088	0,075
42,135	0,075
43,221	0,075
43,324	0,075
44,878	0,075
45,908	0,112
45,787	0,112
45,768	0,112
45,787	0,066
45,861	0,066
44,391	1,854
44,513	1,854
45,150	1,845
45,787	1,845
47,238	1,845
48,867	1,845
48,773	1,891
48,961	5,431
48,839	8,970
48,867	12,519
48,933	12,481
49,167	12,491
49,251	12,500
48,633	12,500
48,699	12,500
49,663	10,693
49,354	10,693
49,045	10,693
49,110	10,693
49,644	13,839
49,635	17,097
49,682	17,051
49,700	13,549
49,719	10,047
49,710	6,536
49,710	6,573
49,017	9,288
47,800	11,433
46,676	12,734
44,869	14,036
43,680	15,337
41,732	16,592
40,075	18,240
38,418	19,888
38,455	19,775
36,957	18,258
36,938	21,536
35,899	23,858
35,037	26,451
34,176	29,045
32,266	30,571
30,955	29,410
29,045	27,556
30,730	26,255
30,899	26,536
31,067	26,816
29,588	25,562
29,738	25,871
31,498	27,434
31,695	27,612
33,361	29,082
33,614	29,017
33,886	29,232
33,755	29,110
33,624	28,989
34,139	29,270
33,493	28,558
36,367	31,423
36,273	34,588
37,697	36,170
39,120	37,753
42,341	40,918
43,642	42,125
43,333	42,079
41,189	40,403
40,730	40,721
40,272	41,039
40,075	40,815
39,457	40,318
38,839	39,822
37,350	38,521
39,757	40,805
39,860	40,983
40,122	41,133
40,384	41,283
40,646	41,433
39,092	39,822
37,537	38,212
35,983	36,601
37,828	38,352
37,219	37,069
36,021	35,131
36,142	35,309
37,537	36,639
38,933	37,968
39,775	38,642
39,316	38,071
36,451	35,225
33,427	32,406
31,704	30,964
29,728	29,298
29,569	29,391
29,410	29,485
29,251	29,579
27,491	27,912
27,060	27,584
27,219	27,912
26,713	27,303
25,581	25,880
24,448	24,457
23,240	23,408
23,933	24,007
26,938	26,676
29,625	29,513
30,637	27,650
31,451	28,174
32,266	28,699
34,185	27,051
35,281	27,865
37,163	29,616
38,230	27,706
40,290	25,787
42,350	23,867
43,801	21,957
45,253	20,047
48,596	23,090
48,764	22,210
48,933	21,330
49,242	17,996
50,131	21,358
51,124	19,185
52,247	17,032
52,360	17,032
52,594	17,463
50,880	15,693
49,625	15,684
47,378	15,684
44,850	17,294
44,625	20,693
42,856	22,350
41,891	21,526
40,768	21,629
39,644	21,732
38,699	24,120
37,547	23,137
36,742	25,524
35,805	27,893
34,775	30,281
34,476	29,700
35,375	30,412
36,067	32,725
36,760	35,037
38,436	33,427
38,558	30,019
40,075	28,352
40,852	25,964
41,582	23,577
42,491	21,189
42,200	20,955
43,202	22,079
43,586	22,884
43,970	23,689
41,461	21,301
41,002	21,199
41,685	22,097
40,768	21,423
40,066	20,946
38,661	22,781
38,455	26,245
36,676	27,809
34,841	29,373
34,934	32,537
34,850	35,702
35,964	36,713
32,556	33,296
29,766	30,197
30,150	27,004
31,816	27,004
33,333	24,794
33,567	24,897
35,225	23,258
36,788	21,423
37,463	19,588
39,298	16,124
40,468	14,560
42,612	12,996
39,279	9,831
39,345	6,667
38,483	3,502
41,142	6,049
42,069	5,955
42,079	5,955
43,605	5,955
41,639	5,955
41,442	2,640
42,612	2,640
42,453	2,640
43,258	2,640
41,395	2,640
42,294	2,640
41,985	2,640
45,421	2,640
43,745	2,640
43,034	2,640
43,848	0,000
47,257	0,000
46,404	0,000
45,655	0,000
47,257	0,000
48,324	0,000
47,331	0,000
47,444	0,000
