0,262
0,262
0,262
0,262
0,262
0,262
0,262
0,262
0,262
0,262
0,262
0,262
0,262
0,262
0,309
0,197
0,197
0,234
0,365
0,412
0,412
0,524
0,524
0,524
0,524
0,524
0,524
0,543
3,867
4,223
4,157
4,185
4,148
7,556
7,509
10,993
11,096
11,105
11,105
11,105
16,807
16,807
21,077
17,762
20,655
21,142
21,114
24,064
20,534
22,444
18,989
22,537
22,856
23,736
23,736
18,034
18,034
13,745
16,788
13,567
13,006
13,024
14,682
17,594
15,777
18,586
14,841
14,513
16,966
19,345
21,077
21,133
21,170
18,174
21,498
21,489
26,245
21,723
24,251
24,157
21,395
21,601
21,751
18,418
16,114
14,419
14,363
14,363
14,785
11,386
16,152
11,517
11,723
6,433
6,433
6,395
6,189
9,288
9,288
9,223
11,283
11,358
14,064
13,586
17,463
16,011
15,964
15,674
15,674
22,041
22,116
27,528
24,279
28,961
31,994
35,337
39,953
37,331
41,301
43,708
40,393
40,403
40,403
44,335
39,532
40,019
34,625
39,176
34,494
31,451
32,472
27,781
27,790
24,157
18,502
18,502
18,399
18,436
20,290
18,848
21,582
24,888
20,375
23,146
23,184
21,461
24,466
24,663
24,345
23,811
24,101
24,101
30,403
24,466
24,354
21,021
17,743
17,996
15,337
18,624
13,942
14,391
14,129
14,110
17,107
19,101
19,232
12,893
15,243
15,243
18,596
20,936
20,646
20,758
17,453
17,416
14,017
18,567
18,708
18,904
19,972
19,841
19,906
17,594
17,912
14,682
12,275
12,275
12,051
12,032
12,219
12,566
8,081
7,940
4,813
1,648
1,657
1,610
2,762
2,434
2,313
2,322
2,322
5,094
5,094
4,906
4,551
4,569
6,498
10,880
15,309
15,908
22,079
20,946
21,358
23,184
23,174
26,938
27,472
32,706
35,206
35,159
38,764
36,835
36,910
32,294
31,685
25,496
25,431
25,019
23,193
23,193
19,429
16,124
10,890
8,371
8,371
4,616
4,616
